transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
6696,2023-01-09,12:49:07,3,8,Astoria,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
3211,2023-04-20,15:56:01,1,5,Hell's Kitchen,14,0.8,Flavours,Regular syrup,Vanilla syrup
3621,2023-01-21,13:43:49,2,5,Hell's Kitchen,7,2.75,Tea,Brewed herbal tea,Chamomile Rg
9117,2023-06-03,08:45:33,1,3,Lower Manhattan,11,3.75,Bakery,Pastry,Croissant
1904,2023-06-20,16:14:47,1,5,Hell's Kitchen,12,3.5,Bakery,Scone,Ginger Scone
4415,2023-01-15,08:38:39,1,3,Lower Manhattan,4,4.25,Coffee,Barista Espresso,
6754,2023-03-29,17:41:48,1,3,Lower Manhattan,7,3.0,Tea,Brewed herbal tea,Chamomile Rg
7745,2023-02-03,10:08:50,2,3,Lower Manhattan,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1264,2023-01-10,17:14:12,2,8,Astoria,13,2.5,Bakery,Biscotti,Chocolate Biscotti
3660,2023-01-10,12:12:50,1,5,Hell's Kitchen,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
3018,2023-03-02,09:00:11,1,3,Lower Manhattan,9,4.25,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
4456,2023-01-27,07:34:50,1,5,Hell's Kitchen,17,8.7,Loose Tea,Black tea,English Breakfast
5272,2023-03-02,16:54:06,2,8,Astoria,17,9.2,Loose Tea,Black tea,English Breakfast
5175,2023-02-16,09:01:58,1,3,Lower Manhattan,5,3.5,Coffee,Premium brewed coffee,Columbian Medium Roast Rg
2511,2023-05-04,09:21:46,1,3,Lower Manhattan,3,4.0,Coffee,Barista Espresso,Latte Rg
8133,2023-06-22,10:52:17,1,8,Astoria,10,4.0,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
4509,2023-04-07,07:34:31,1,5,Hell's Kitchen,18,14.75,Coffee beans,House blend Beans,Espresso Roast whole bean
9094,2023-05-16,10:19:46,2,5,Hell's Kitchen,19,14.75,Coffee beans,Organic Beans,Ethiopia Rg
1091,2023-01-22,13:24:14,1,5,Hell's Kitchen,19,15.0,Coffee beans,Organic Beans,Ethiopia Rg
8138,2023-06-24,18:06:29,1,3,Lower Manhattan,21,8.7,Branded,Housewares,Ceramic Mug
5071,2023-03-04,10:07:25,1,5,Hell's Kitchen,20,3.0,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
6485,2023-06-02,16:22:57,3,3,Lower Manhattan,9,4.0,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
1945,2023-04-26,11:25:21,3,5,Hell's Kitchen,13,2.25,Bakery,Biscotti,Chocolate Biscotti
9022,2023-04-18,07:49:55,2,3,Lower Manhattan,6,3.0,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
8160,2023-05-20,15:01:48,1,8,Astoria,20,3.0,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
4693,2023-06-14,09:56:35,1,8,Astoria,20,3.25,Packaged Chocolate,Drinking Chocolate,Peppermint Bark
5681,2023-01-08,19:36:54,1,3,Lower Manhattan,18,15.0,Coffee beans,House blend Beans,Espresso Roast whole bean
609,2023-04-13,07:16:32,2,3,Lower Manhattan,21,8.7,Branded,Housewares,Ceramic Mug
2769,2023-02-19,10:42:12,1,8,Astoria,15,0.8,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
2129,2023-01-17,07:09:08,1,3,Lower Manhattan,19,14.5,Coffee beans,Organic Beans,Ethiopia Rg
8206,2023-04-04,07:43:22,1,5,Hell's Kitchen,18,14.75,Coffee beans,House blend Beans,Espresso Roast whole bean
2455,2023-02-10,17:16:34,1,3,Lower Manhattan,13,2.75,Bakery,Biscotti,
6668,2023-03-09,09:16:53,1,3,Lower Manhattan,13,2.5,Bakery,Biscotti,Chocolate Biscotti
